[49.148.243.21 | 15-Feb-2023 14:08:17] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-06 17:00:00
[49.148.243.21 | 15-Feb-2023 14:08:38] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-08 8:20:00
[49.148.243.21 | 15-Feb-2023 14:08:58] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-08 12:00:00
[49.148.243.21 | 15-Feb-2023 14:09:31] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-09 8:01:00
[49.148.243.21 | 15-Feb-2023 14:10:04] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-09 12:00:00
[49.148.243.21 | 15-Feb-2023 14:12:03] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-02-09 13:00:00
[49.148.243.21 | 15-Feb-2023 14:12:15] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-09 17:00:00
[49.148.243.21 | 15-Feb-2023 14:12:32] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-02-10 13:00:00
[49.148.243.21 | 15-Feb-2023 14:12:48] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-10 17:17:00
[49.148.243.21 | 15-Feb-2023 14:21:27] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-13 8:00:00
[49.148.243.21 | 15-Feb-2023 14:21:40] 2-Super Admin: Added Employee John  Mandawe
[49.148.243.21 | 15-Feb-2023 14:22:33] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-13 12:00:00
[49.148.243.21 | 15-Feb-2023 14:22:42] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-02-13 13:00:00
[49.148.243.21 | 15-Feb-2023 14:22:59] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-13 17:30:00
[49.148.243.21 | 15-Feb-2023 14:23:32] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-11 8:00:00
[49.148.243.21 | 15-Feb-2023 14:23:50] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-11 12:00:00
[49.148.243.21 | 15-Feb-2023 14:24:09] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-14 8:00:00
[49.148.243.21 | 15-Feb-2023 14:24:18] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-14 12:00:00
[49.148.243.21 | 15-Feb-2023 14:24:28] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-02-14 13:00:00
[49.148.243.21 | 15-Feb-2023 14:24:39] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-14 17:00:00
[49.148.243.21 | 15-Feb-2023 14:24:51] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-15 8:00:00
[49.148.243.21 | 15-Feb-2023 14:25:49] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-15 12:00:00
[49.148.243.21 | 15-Feb-2023 14:25:58] 2-Super Admin: Add timelog for biometric ID 1 for stimeIn : 2023-02-15 13:00:00
[49.148.243.21 | 15-Feb-2023 14:26:10] 2-Super Admin: Add timelog for biometric ID 1 for stimeOut : 2023-02-15 18:00:00
[49.148.243.21 | 15-Feb-2023 14:27:02] 2-Super Admin: Add timelog for biometric ID 1 for OTin : 2023-02-11 22:00:00
[49.148.243.21 | 15-Feb-2023 14:27:21] 2-Super Admin: Add timelog for biometric ID 1 for OTout : 2023-02-11 23:30:00
[49.148.243.21 | 15-Feb-2023 14:30:46] 2-Super Admin: Log 2023-02-09 17:00 for Adams, Alfie successfully Deleted
[49.148.243.21 | 15-Feb-2023 14:48:32] 2-Super Admin: Add timelog for biometric ID 1 for ftimeIn : 2023-02-10 8:00:00
[49.148.243.21 | 15-Feb-2023 14:48:50] 2-Super Admin: Add timelog for biometric ID 1 for ftimeOut : 2023-02-10 12:00:00
[49.148.243.21 | 15-Feb-2023 15:45:12] 2-Super Admin: Logged in.
[49.148.243.21 | 15-Feb-2023 15:46:29] 2-Super Admin: Set late allowance.
[49.148.243.21 | 15-Feb-2023 15:48:31] 2-Super Admin: Add leave for The Great Xandra 2023-02-08 - 1
[49.148.243.21 | 15-Feb-2023 15:48:36] 2-Super Admin: Delete leave ID 1
[49.148.243.21 | 15-Feb-2023 16:18:09] - : Logged out.
[49.148.243.21 | 15-Feb-2023 16:18:12] - : Logged out.
[49.148.243.21 | 15-Feb-2023 16:18:15] - : Logged out.
[49.145.38.176 | 16-Feb-2023 08:17:51] 2-Super Admin: Logged in.
[49.145.38.176 | 16-Feb-2023 08:59:19] 2-Super Admin: Added 13th Month Feb1-15-2023 Array Success.
[49.145.38.176 | 16-Feb-2023 10:30:01] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
[49.145.38.176 | 16-Feb-2023 10:30:01] 2-Super Admin: Generate Nth-payslip for Feb1-15-2023
