[49.145.42.177 | 08-Mar-2023 09:37:05] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 09:37:54] 2-Super Admin: Logged out.
[49.145.42.177 | 08-Mar-2023 10:53:05] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 11:08:59] 9-Test Test: Logged in.
[49.145.42.177 | 08-Mar-2023 11:16:58] 9-Test Test: Apply overtime 2023-03-15
[49.145.42.177 | 08-Mar-2023 11:22:00] 2-Super Admin: update overtime status to1
[49.145.42.177 | 08-Mar-2023 11:33:46] 2-Super Admin: Set late amount.
[49.145.42.177 | 08-Mar-2023 11:34:54] 2-Super Admin: Add holiday 1 on 2023-03-08
[49.145.42.177 | 08-Mar-2023 11:35:58] 2-Super Admin: Add holiday 0 on 2023-03-01
[49.145.42.177 | 08-Mar-2023 11:40:25] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 12:57:24] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 13:10:55] 9-Test Test: Logged in.
[49.145.42.177 | 08-Mar-2023 13:11:01] 9-Test Test: Logged out.
[49.145.42.177 | 08-Mar-2023 13:15:35] 9-Test Test: Logged in.
[49.145.42.177 | 08-Mar-2023 13:15:40] 9-Test Test: Logged out.
[49.145.42.177 | 08-Mar-2023 13:20:02] 9-Test Test: Logged in.
[49.145.42.177 | 08-Mar-2023 13:20:08] 9-Test Test: Logged out.
[49.145.42.177 | 08-Mar-2023 13:44:36] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 13:45:29] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 15:43:04] 2-Super Admin: Logged in.
[49.145.42.177 | 08-Mar-2023 15:59:28] 10-Alfie Adams: Logged in.
[49.145.42.177 | 08-Mar-2023 15:59:36] 10-Alfie Adams: Logged out.
[49.145.42.177 | 08-Mar-2023 16:14:03] 9-Test Test: Logged in.
[49.145.42.177 | 08-Mar-2023 16:30:40] 9-Test Test: Logged out.
[120.28.241.228 | 09-Mar-2023 08:12:18] 2-Super Admin: Logged in.
[49.145.39.71 | 09-Mar-2023 10:41:53] 2-Super Admin: Added Employee xx xx
[49.145.39.71 | 09-Mar-2023 10:48:14] 2-Super Admin: Added Employee xx xx
[49.145.39.71 | 09-Mar-2023 11:13:03] 2-Super Admin: Logged in.
[49.145.39.71 | 09-Mar-2023 11:26:16] 2-Super Admin: Upload file uploads/9/Screenshot_1.png
[49.145.39.71 | 09-Mar-2023 11:26:26] 2-Super Admin: Update file yea information.
[49.145.39.71 | 09-Mar-2023 11:27:52] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:54] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:55] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:56] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:57] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:57] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:27:58] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:10] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:11] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:12] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:13] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:13] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:15] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:19] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:20] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:22] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:52] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:55] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:55] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:56] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:28:57] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:29:32] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:29:32] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:29:33] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:29:48] 2-Super Admin: Upload file uploads/9/1-Screenshot_1.png
[49.145.39.71 | 09-Mar-2023 11:30:23] 2-Super Admin: Upload file uploads/9/1-Screenshot_1.png
[49.145.39.71 | 09-Mar-2023 11:30:29] 2-Super Admin: Update file 4451 information.
[49.145.39.71 | 09-Mar-2023 11:30:53] 2-Super Admin: Upload file uploads/10/Screenshot_1.png
[49.145.39.71 | 09-Mar-2023 11:30:58] 2-Super Admin: Update file 5458484 information.
[49.145.39.71 | 09-Mar-2023 11:31:08] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:09] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:09] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:10] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:11] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:13] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:14] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:14] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:15] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:16] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:16] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:23] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:24] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:25] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:25] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:31:26] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:45:27] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:45:29] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 11:45:36] 2-Super Admin: Download Resume.
[49.145.39.71 | 09-Mar-2023 13:01:45] 2-Super Admin: Logged in.
[49.145.39.71 | 09-Mar-2023 13:36:40] 2-Super Admin: Added Employee xx xx
[49.145.39.71 | 09-Mar-2023 13:43:44] 2-Super Admin: Logged in.
[49.145.39.71 | 09-Mar-2023 14:09:11] 2-Super Admin: Logged in.
[49.145.39.71 | 09-Mar-2023 14:12:07] 2-Super Admin: update holiday ID 29 to 1
[49.145.39.71 | 09-Mar-2023 14:56:02] 2-Super Admin: Add timelog for biometric ID 888888 for ftimeIn : 2023-03-09 8:00:00
[49.145.39.71 | 09-Mar-2023 14:57:21] 2-Super Admin: Add timelog for biometric ID 1 First Time in : 2023-02-01 8:00
[49.145.39.71 | 09-Mar-2023 14:57:22] 2-Super Admin: Add timelog for biometric ID 1 First Time out : 2023-02-01 11:00
[49.145.39.71 | 09-Mar-2023 14:57:23] 2-Super Admin: Add timelog for biometric ID 1 Second Time in : 2023-02-01 13:00
[49.145.39.71 | 09-Mar-2023 14:57:24] 2-Super Admin: Add timelog for biometric ID 1 Second Time out : 2023-02-01 17:00
[49.145.39.71 | 09-Mar-2023 14:58:11] 2-Super Admin: Add timelog for biometric ID 888888 First Time in : 2023-03-09 8:00
