[120.28.230.82 | 08-Jan-2024 13:30:23] 2-Super Admin: Deactivate License.
[120.28.230.82 | 08-Jan-2024 13:30:30] 2-Super Admin: Activate License.
[120.28.230.82 | 08-Jan-2024 13:30:34] 2-Super Admin: Deactivate License.
[120.28.230.82 | 08-Jan-2024 13:30:38] 2-Super Admin: Activate License.
[120.28.230.82 | 08-Jan-2024 13:30:41] 2-Super Admin: Deactivate License.
[120.28.230.82 | 08-Jan-2024 13:36:33] 2-Super Admin: Activate License.
[120.28.230.82 | 08-Jan-2024 13:39:13] 2-Super Admin: Deactivate License.
[120.28.230.82 | 08-Jan-2024 13:40:37] 2-Super Admin: Activate License.
[120.28.230.82 | 08-Jan-2024 13:41:54] 2-Super Admin: Deactivate License.
[120.28.230.82 | 08-Jan-2024 13:42:45] 2-Super Admin: Activate License.
[120.28.227.95 | 09-Jan-2024 08:16:13] 2-Super Admin: Logged in.
[49.145.38.165 | 09-Jan-2024 11:48:39] 2-Super Admin: Logged in.
[49.145.38.165 | 09-Jan-2024 11:49:04] 2-Super Admin: Deleted Employee Jane  Doe
[49.145.38.165 | 09-Jan-2024 11:49:08] 2-Super Admin: Deleted Employee John Doe
[49.145.38.165 | 09-Jan-2024 11:51:50] 2-Super Admin: Added Employee Admin User
[49.145.38.165 | 09-Jan-2024 11:56:43] 2-Super Admin: Added Employee HR User
[49.145.38.165 | 09-Jan-2024 11:58:24] 2-Super Admin: Added Employee Employee  User
[49.145.38.165 | 09-Jan-2024 11:58:49] 185-Admin User: Logged in.
[49.145.38.165 | 09-Jan-2024 11:59:23] 185-Admin User: Logged out.
[49.145.38.165 | 09-Jan-2024 11:59:28] 186-HR User: Logged in.
[49.145.38.165 | 09-Jan-2024 13:05:09] 187-Employee  User: Logged in.
[49.145.38.165 | 09-Jan-2024 13:05:45] 187-Employee  User: Logged out.
[49.145.38.165 | 09-Jan-2024 13:05:53] 186-HR User: Logged in.
[49.145.38.165 | 09-Jan-2024 13:06:49] 186-HR User: Logged out.
[158.62.52.86 | 10-Jan-2024 13:24:03] 185-Admin User: Logged in.
[120.28.227.215 | 23-Jan-2024 14:52:53] 2-Super Admin: Added/Updated User Schedules
[120.28.227.215 | 23-Jan-2024 14:52:53] 2-Super Admin: Added/Updated User Dayoffs
[120.28.227.215 | 23-Jan-2024 14:52:53] 2-Super Admin: Added/Updated User Teams
[120.28.227.215 | 23-Jan-2024 14:52:53] 2-Super Admin: Added/Updated User Groups
[120.28.227.215 | 23-Jan-2024 14:52:53] 2-Super Admin: Added/Updated User Designations
